sku,asin,amazon-store,product-name,brand,your-price,sales-price,currency,estimated-referral-fee-per-unit,estimated-variable-closing-fee,expected-domestic-fulfilment-fee-per-unit,COGS
VV-VITA-378,B0DFCRYTBC,IE,"Vegavero Brewer's Yeast 2500 mg | 100% Pure | Natural Source of B-Vitamins, Amino Acids, Minerals | Highly Dosed | NO Additives, Lab Tested | Vegan",Vegavero,11.99,11.99,EUR,1.8,0,1.36,3.81
VV-VITA-378,B0DFCRYTBC,ES,"Levadura de Cerveza 100% PURA ACTIVA | Con Vitamina B | 2500mg | Fortalece Piel, Uñas y Cabello | Mejor Digestión y Salud Intestinal | Analizado en Laboratorio | Vegano y Sin Aditivos | Vegavero®",Vegavero,14.9,14.9,EUR,2.24,0,3.23,3.81
VV-VITA-378,B0DFCRYTBC,IT,"Lievito di Birra | 2500 mg | Integratore per Capelli, Unghie e Pelle | Fonte di Biotina, Zinco e Selenio | 120 Capsule | Senza Additivi | Vegan | No OGM | Vegavero®",Vegavero,16.99,16.99,EUR,2.55,0,3.59,3.81
VV-VITA-378,B0DFCRYTBC,FR,Levure de Bière Active | Dosage Élevé: 2500 mg | Cure Cheveux + Ongles + Peau | 120 Gélules | 100% Pure & Sans Additifs | Vegan | Vegavero®,Vegavero,14.9,14.9,EUR,2.24,0,4.72,3.81
VV-VITA-378,B0DFCRYTBC,DE,"Bierhefe Brewers Yeast 2500 mg | Mit Biotin für gesunde Haut, Haare und Nägel | 100% natürlich ohne Zusatzstoffe| Laborgeprüft | Deutsche Produktion | 120 hochdosierte Kapseln | Vegan | Vegavero",Vegavero,12.9,12.9,EUR,1.94,0,2.78,3.81
VV-VITA-371,B0D63B5WBM,IE,Vegavero Nattokinase 2000 FU – 100 mg | 180 Capsules | 100% Natural from Fermented Soya Bean Extract | Enzyme from Japanese Natto | NO Additives | Vegan,Vegavero,17.99,17.99,EUR,2.7,0,1.36,4.76
VV-VITA-371,B0D63B5WBM,BE,Nattokinase | 100 mg – 20 000 FU/g | Natto de soja sans OGM | Hautement dosé | Sans additifs artificiels et testé en laboratoire | Vegan | Vegavero®,Vegavero,23.99,23.99,EUR,3.6,0,3.53,4.76
VV-VITA-371,B0D63B5WBM,NL,Vegavero NATTOKINASE capsules | 20.000 FU/g | Gemaakt van natto – gefermenteerde sojabonen | 180 capsules | Laboratorium getest | Veganistisch - zonder toevoegingen,Vegavero,17.99,17.99,EUR,2.7,0,3.23,4.76
VV-VITA-371,B0D63B5WBM,ES,Nattokinase 20.000 FU/g | 100 mg | Para 6 meses | Sin Aditivos y Vegano | 180 Cápsulas | Vegavero,Vegavero,19.9,19.9,EUR,2.99,0,3.23,4.76
VV-VITA-371,B0D63B5WBM,IT,Nattokinase | 100 mg – 20.000 FU/g | Natto da Soia No OGM | Altamente Dosato | Senza Additivi Artificiali e Testato in Laboratorio | Vegan | Vegavero®,Vegavero,19.99,19.99,EUR,3,0,3.59,4.76
VV-VITA-371,B0D63B5WBM,FR,Nattokinase 100mg | Haute Activité Enzymatique : 20.000 FU/g | 6 Mois d’Approvisionnement | Sans OGM & Vegan | Testé en Laboratoire | Vegavero®,Vegavero,19.9,19.9,EUR,2.99,0,4.72,4.76
VV-VITA-371,B0D63B5WBM,DE,Nattokinase Kapseln hochdosiert | 20.000 FU/g | Aus Natto – fermentierte Sojabohnen | 180 Stück | Laborgeprüft | Vegan - ohne Zusatzstoffe | Deutsche Produktion Vegavero,Vegavero,15.9,15.9,EUR,2.39,0,2.78,4.76
VV-VITA-57-V2,B0D26DXLP4,IE,"Vegavero Hyaluronic Acid Supplements | NO Additives, Lab-Tested | High Strength 600mg with 800-1500 kDa | 90 Capsules | Vegan",Vegavero,22.99,22.99,EUR,3.45,0,1.53,8.72
VV-VITA-57-V2,B0D26DXLP4,BE,Supplément d'acide hyaluronique | 600 mg | 800-1500 kDa | VEGAN | 100% NATUREL de fermentation | 90 capsules | Hyaluronic Acid | Vegavero®,Vegavero,26.99,26.99,EUR,4.05,0,3.53,8.72
VV-VITA-57-V2,B0D26DXLP4,NL,Vegavero HYALURONZUUR capsules | Hoge dosis - 600 mg | 90 capsules voor 3 maanden | 800-1500 kDa hoog molecuulgewicht | Hyaluronzuur | Laboratorium getest | Geen additieven en veganistisch,Vegavero,23.99,23.99,EUR,3.6,0,3.61,8.72
VV-VITA-57-V2,B0D26DXLP4,ES,Ácido Hialurónico Puro Vegavero | La Dosis más Alta: 600 mg | Libre de Aditivos & Vegano | 90 Cápsulas | Natural de Fermentación | 800-1500 kDa | Hidratante facial + Articulaciones…,Vegavero,26.9,26.9,EUR,4.04,0,3.85,8.72
VV-VITA-57-V2,B0D26DXLP4,IT,Acido Ialuronico Integratore | 600 mg | 800-1500 kDa | VEGAN | 100% NATURALE da fermentazione | 90 capsule | Hyaluronic Acid | Vegavero®,Vegavero,24.99,24.99,EUR,3.75,0,4.17,8.72
VV-VITA-57-V2,B0D26DXLP4,FR,Acide Hyaluronique Pur Vegavero® 600 mg | 100% Naturel | 90 Gélules | VEGAN & Sans Additifs Artificiels | Anti-âge et Articulations,Vegavero,25.9,25.9,EUR,3.89,0,4.72,8.72
