promotion_id,promotion_type,asin,promo_price,original_price,start,end
6b4f4563,Best Deal,B0BK8X47M5,14.37,13.43,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0BK8X47M5,14.37,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B0BK8X47M5,12.75,13.43,2026-02-17 00:00:00,2026-03-17 23:59:00
2ef28cba,Best Deal,B0FQW6FYT9,23.72,22.17,2026-03-10 00:00:00,2026-03-16 23:45:00
4b90a925,Best Deal,B0D637HBP1,15.21,14.21,2026-02-08 00:00:00,2026-02-15 23:59:00
2ef28cba,Best Deal,B08XZLYCZ5,22.87,21.37,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B08XZLYCZ5,22.87,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B0BK8X47M5,14.37,13.43,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B0FQW6FYT9,23.72,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
4b90a925,Best Deal,B0D637HBP1,15.21,0.0,2026-02-08 00:00:00,2026-02-15 23:59:00
23985214102,Coupon,B0BK8X47M5,14.99,15.79,2026-02-17 00:00:00,2026-03-17 23:59:00
2ef28cba,Best Deal,B0D637HBP1,15.2,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B0D637HBP1,15.2,14.21,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B0BK8X47M5,14.37,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
5feb7df2,Best Deal,B0BK8X47M5,14.37,13.43,2026-05-24 00:00:00,2026-05-30 23:59:00
5feb7df2,Best Deal,B0BK8X47M5,14.37,0.0,2026-05-24 00:00:00,2026-05-30 23:59:00
23985214102,Coupon,B091Z4JQBD,17.66,18.6,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B091Z4JQBD,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B091Z4JQBD,16.91,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B08XZLYCZ5,22.87,21.37,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B08XZLYCZ5,22.87,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B094R1JQ6K,15.33,14.33,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B094R1JQ6K,15.33,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B0DGGWX7WN,12.67,11.84,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B0DGGWX7WN,12.67,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B091Z4JQBD,16.92,15.81,2026-03-10 00:00:00,2026-03-16 23:45:00
23985214102,Coupon,B0BK8X47M5,15.0,15.79,2026-02-17 00:00:00,2026-03-17 23:59:00
23985214102,Coupon,B07F1FKM3M,22.1,23.27,2026-02-17 00:00:00,2026-03-17 23:59:00
2ef28cba,Best Deal,B08QVYP7YH,20.32,18.99,2026-03-10 00:00:00,2026-03-16 23:45:00
